sex,marital_status,age,education,income,occupation,settlement_size,cluster_labels
female,non_single,23,high_school,153539,skilled,mid_size_city,1
male,non_single,36,high_school,180495,management,mid_size_city,1
female,non_single,25,high_school,104653,skilled,big_city,1
female,non_single,41,university,166933,management,big_city,2
male,single,24,unknown,66118,unemployed,small_city,0
male,single,63,university,135754,skilled,small_city,2
female,non_single,27,high_school,116103,skilled,big_city,1
male,single,30,unknown,104293,skilled,mid_size_city,1
male,non_single,40,high_school,71702,unemployed,small_city,0
male,single,30,unknown,99066,skilled,big_city,1
male,single,34,high_school,143979,management,big_city,1
female,non_single,29,high_school,123818,skilled,small_city,0
female,non_single,24,high_school,176714,skilled,big_city,1
male,single,29,unknown,149249,skilled,big_city,1
male,single,27,unknown,77535,unemployed,small_city,0
male,single,47,high_school,116540,skilled,mid_size_city,1
female,non_single,21,high_school,194728,skilled,small_city,1
female,non_single,38,high_school,109311,skilled,big_city,1
male,single,27,unknown,204723,skilled,big_city,3
male,single,66,university,126003,unemployed,small_city,2
male,single,35,high_school,123109,skilled,mid_size_city,1
female,non_single,44,university,108251,unemployed,small_city,2
male,non_single,27,high_school,89908,unemployed,small_city,0
female,non_single,30,high_school,176057,management,mid_size_city,1
male,single,27,unknown,144332,management,big_city,1
male,single,22,unknown,101185,skilled,mid_size_city,1
female,non_single,23,high_school,107406,skilled,big_city,1
male,single,30,unknown,140665,skilled,mid_size_city,1
female,non_single,39,university,106461,skilled,small_city,0
female,non_single,51,university,127825,skilled,small_city,2
male,single,28,unknown,133898,skilled,mid_size_city,1
male,single,46,high_school,152383,skilled,big_city,1
male,single,42,high_school,119926,skilled,small_city,1
male,single,38,high_school,108784,skilled,big_city,1
male,single,24,unknown,153286,skilled,mid_size_city,1
female,non_single,29,high_school,214204,skilled,big_city,1
male,single,36,high_school,208101,management,big_city,3
female,non_single,20,high_school,95355,skilled,mid_size_city,0
male,single,48,high_school,124156,skilled,mid_size_city,1
male,non_single,45,university,72215,unemployed,small_city,2
male,single,38,high_school,146529,skilled,big_city,1
male,single,34,high_school,75343,unemployed,small_city,0
male,single,36,high_school,129789,skilled,mid_size_city,1
female,non_single,30,high_school,101153,skilled,mid_size_city,0
male,single,36,high_school,127833,skilled,big_city,1
male,single,70,university,224998,management,big_city,2
male,single,36,high_school,124445,skilled,big_city,1
male,single,32,unknown,141116,skilled,mid_size_city,1
female,non_single,33,high_school,104276,skilled,big_city,1
female,non_single,20,high_school,147687,skilled,big_city,1
female,non_single,25,high_school,125168,skilled,mid_size_city,0
male,non_single,31,high_school,115369,skilled,big_city,1
male,single,33,high_school,95445,skilled,small_city,1
female,non_single,26,high_school,95159,skilled,mid_size_city,0
female,non_single,34,high_school,153031,management,big_city,1
male,single,33,high_school,108899,skilled,small_city,1
male,single,26,unknown,113515,skilled,mid_size_city,1
female,non_single,53,university,211229,management,small_city,2
male,non_single,42,university,121307,skilled,small_city,2
male,single,52,high_school,131727,skilled,big_city,1
male,single,31,unknown,133574,management,mid_size_city,1
male,single,65,university,117334,skilled,small_city,2
male,non_single,28,high_school,177291,skilled,big_city,1
male,non_single,30,high_school,168763,management,mid_size_city,1
male,single,40,high_school,77720,unemployed,small_city,0
male,single,50,high_school,176645,skilled,big_city,1
male,single,36,high_school,106205,skilled,mid_size_city,1
male,single,31,unknown,97785,skilled,mid_size_city,1
female,non_single,74,graduate_school,214364,management,mid_size_city,2
male,single,68,university,74525,unemployed,small_city,2
male,non_single,20,high_school,98988,skilled,small_city,0
female,non_single,33,high_school,133561,skilled,mid_size_city,1
male,single,54,high_school,217651,management,big_city,3
male,single,34,high_school,116525,unemployed,small_city,0
male,single,36,high_school,135302,skilled,big_city,1
male,non_single,29,high_school,106434,skilled,mid_size_city,0
male,single,21,unknown,128350,skilled,big_city,1
female,non_single,34,high_school,147626,management,big_city,1
female,non_single,28,high_school,102697,skilled,small_city,0
female,non_single,27,high_school,120262,skilled,small_city,0
male,single,36,high_school,124214,skilled,big_city,1
male,non_single,40,high_school,175223,management,mid_size_city,1
male,single,52,high_school,137467,skilled,small_city,1
male,non_single,27,high_school,65815,unemployed,small_city,0
male,single,26,unknown,129864,skilled,mid_size_city,1
male,non_single,21,high_school,88475,skilled,mid_size_city,0
male,single,38,high_school,74666,unemployed,small_city,0
male,single,38,high_school,222294,management,big_city,3
male,single,43,high_school,112878,skilled,small_city,1
male,single,26,unknown,103411,skilled,big_city,1
male,non_single,21,high_school,112868,unemployed,small_city,0
male,single,55,high_school,157940,skilled,big_city,1
male,single,33,high_school,115835,skilled,big_city,1
female,non_single,45,university,109807,unemployed,small_city,2
male,single,50,high_school,150699,skilled,mid_size_city,1
male,single,66,university,178967,management,small_city,2
male,single,51,high_school,132767,skilled,small_city,1
female,non_single,39,university,86152,unemployed,small_city,2
male,single,31,unknown,114528,skilled,big_city,1
male,single,23,unknown,133912,skilled,mid_size_city,1
male,non_single,24,high_school,81210,unemployed,small_city,0
female,non_single,64,graduate_school,131242,skilled,small_city,2
male,non_single,26,high_school,68804,unemployed,small_city,0
female,non_single,23,high_school,96961,skilled,mid_size_city,0
male,single,30,unknown,90719,skilled,big_city,1
male,single,32,unknown,114116,skilled,mid_size_city,1
male,single,30,unknown,128639,skilled,mid_size_city,1
male,single,27,unknown,106623,skilled,mid_size_city,1
male,single,27,unknown,236264,skilled,mid_size_city,3
male,single,53,high_school,207783,management,mid_size_city,3
male,single,22,unknown,91739,skilled,mid_size_city,1
male,single,22,unknown,107780,skilled,big_city,1
male,single,26,unknown,139157,skilled,big_city,1
male,single,51,high_school,121751,unemployed,small_city,0
male,single,35,high_school,121974,skilled,small_city,1
male,non_single,25,high_school,70320,unemployed,small_city,0
male,single,42,high_school,78327,unemployed,small_city,0
male,single,30,unknown,131433,management,small_city,1
male,single,23,unknown,167076,unemployed,big_city,1
male,non_single,61,university,130788,unemployed,small_city,2
female,non_single,35,high_school,107408,skilled,mid_size_city,0
male,single,39,high_school,115323,skilled,mid_size_city,1
female,non_single,29,high_school,99012,skilled,small_city,0
male,single,51,high_school,115996,skilled,mid_size_city,1
male,single,24,unknown,123353,skilled,mid_size_city,1
female,non_single,27,high_school,100008,skilled,small_city,0
female,non_single,35,high_school,125105,unemployed,small_city,0
male,single,25,unknown,92020,skilled,big_city,1
male,single,52,high_school,108365,skilled,big_city,1
male,single,35,high_school,112979,skilled,small_city,1
male,single,26,unknown,117221,skilled,mid_size_city,1
female,non_single,22,high_school,88800,skilled,big_city,1
female,non_single,39,university,115099,unemployed,small_city,2
female,non_single,46,university,113399,unemployed,small_city,2
female,non_single,24,high_school,115879,skilled,mid_size_city,0
male,single,35,high_school,141270,skilled,big_city,1
male,single,24,unknown,107633,skilled,mid_size_city,1
male,single,27,unknown,131751,unemployed,small_city,0
male,single,35,high_school,83687,unemployed,small_city,0
male,non_single,29,high_school,106828,skilled,big_city,1
female,non_single,23,high_school,135537,skilled,mid_size_city,1
female,non_single,57,university,107142,unemployed,small_city,2
male,single,27,unknown,97446,skilled,mid_size_city,1
female,non_single,55,university,126357,skilled,big_city,2
male,single,36,high_school,169617,management,mid_size_city,1
female,non_single,57,university,108945,unemployed,small_city,2
male,single,32,unknown,67345,unemployed,small_city,0
male,single,37,high_school,106215,skilled,small_city,1
male,single,36,high_school,149237,skilled,small_city,1
female,non_single,38,high_school,112124,skilled,small_city,0
male,non_single,45,university,215150,management,big_city,2
male,single,25,unknown,89534,skilled,mid_size_city,1
male,single,32,unknown,111082,skilled,big_city,1
female,non_single,37,high_school,137069,skilled,mid_size_city,1
male,single,36,high_school,244541,management,big_city,3
male,single,28,unknown,120712,skilled,mid_size_city,1
male,non_single,34,high_school,175367,unemployed,small_city,0
male,single,32,unknown,111418,skilled,mid_size_city,1
female,non_single,26,high_school,110913,skilled,small_city,0
male,non_single,49,university,84267,unemployed,small_city,2
female,non_single,32,high_school,136886,skilled,big_city,1
male,single,29,unknown,144884,management,big_city,1
male,single,23,unknown,151180,skilled,mid_size_city,1
male,single,50,high_school,114997,skilled,mid_size_city,1
male,single,49,high_school,100961,unemployed,small_city,0
male,single,63,university,124849,skilled,big_city,2
male,non_single,37,high_school,152308,skilled,big_city,1
female,non_single,35,high_school,167945,unemployed,mid_size_city,1
male,single,26,unknown,126706,skilled,big_city,1
male,single,31,unknown,210017,management,big_city,3
female,non_single,49,university,125665,skilled,mid_size_city,2
male,non_single,48,university,111184,skilled,mid_size_city,2
male,non_single,26,high_school,94134,skilled,small_city,0
male,non_single,28,high_school,214620,management,mid_size_city,1
female,non_single,44,university,193816,management,mid_size_city,2
male,single,56,high_school,168714,skilled,mid_size_city,1
male,non_single,46,university,202997,management,mid_size_city,2
female,non_single,26,high_school,192451,skilled,big_city,1
female,non_single,20,high_school,127928,skilled,big_city,1
male,single,45,high_school,78253,unemployed,small_city,0
male,single,43,high_school,118446,skilled,mid_size_city,1
male,single,32,unknown,161379,skilled,big_city,1
female,non_single,54,university,56622,unemployed,small_city,2
female,non_single,42,university,146117,skilled,mid_size_city,2
male,single,37,high_school,90418,unemployed,small_city,0
male,single,49,high_school,109053,skilled,small_city,1
male,single,44,high_school,219319,skilled,small_city,3
male,non_single,33,high_school,144701,skilled,mid_size_city,1
female,non_single,24,high_school,102425,unemployed,small_city,0
male,non_single,33,high_school,79867,unemployed,small_city,0
female,non_single,24,high_school,107114,skilled,big_city,1
male,non_single,22,high_school,62263,unemployed,small_city,0
male,single,40,high_school,92567,unemployed,small_city,0
male,single,25,unknown,146349,skilled,small_city,0
female,non_single,26,high_school,141825,skilled,mid_size_city,1
male,non_single,25,high_school,68582,unemployed,small_city,0
male,single,29,unknown,85476,unemployed,small_city,0
male,single,31,unknown,111091,skilled,big_city,1
male,single,38,high_school,67110,unemployed,small_city,0
female,non_single,48,university,126154,unemployed,small_city,2
male,single,32,unknown,92257,skilled,big_city,1
female,non_single,27,high_school,93605,unemployed,small_city,0
male,non_single,28,high_school,165190,management,small_city,1
male,non_single,32,high_school,107195,skilled,small_city,0
male,single,34,high_school,145059,management,small_city,1
male,single,28,unknown,148363,skilled,small_city,0
female,non_single,36,high_school,105681,skilled,big_city,1
male,single,39,high_school,93732,unemployed,small_city,0
male,single,49,high_school,154778,skilled,big_city,1
female,non_single,34,high_school,149356,skilled,big_city,1
male,single,31,unknown,145670,skilled,mid_size_city,1
male,single,28,unknown,101589,skilled,big_city,1
male,single,75,university,213333,management,mid_size_city,2
female,non_single,30,high_school,122420,skilled,small_city,0
female,non_single,24,high_school,209856,management,mid_size_city,1
female,non_single,24,high_school,181003,unemployed,small_city,1
male,single,23,unknown,117804,skilled,mid_size_city,1
male,non_single,44,university,160650,management,mid_size_city,2
female,non_single,23,high_school,84611,unemployed,small_city,0
female,non_single,24,high_school,98479,skilled,big_city,1
male,single,28,unknown,122359,skilled,big_city,1
male,non_single,31,high_school,81394,unemployed,small_city,0
female,non_single,24,high_school,150372,skilled,mid_size_city,1
female,non_single,26,high_school,92385,unemployed,small_city,0
male,non_single,25,high_school,149851,skilled,big_city,1
male,single,33,high_school,167939,management,mid_size_city,1
male,single,37,high_school,115426,unemployed,small_city,0
female,non_single,43,university,85402,unemployed,small_city,2
male,single,23,unknown,95815,skilled,big_city,1
female,non_single,23,high_school,97518,unemployed,small_city,0
male,single,34,high_school,87355,unemployed,small_city,0
male,single,32,unknown,145933,skilled,mid_size_city,1
female,non_single,23,high_school,97307,skilled,small_city,0
female,non_single,29,high_school,108434,skilled,big_city,1
male,single,38,high_school,151312,management,mid_size_city,1
male,single,28,unknown,141847,skilled,mid_size_city,1
male,single,46,high_school,130675,skilled,big_city,1
male,single,23,unknown,69309,unemployed,small_city,0
male,single,49,high_school,121466,skilled,big_city,1
male,single,26,unknown,153586,management,big_city,1
male,non_single,28,high_school,92849,skilled,small_city,0
female,non_single,23,high_school,108539,skilled,big_city,1
male,single,61,university,129556,skilled,big_city,2
male,single,37,high_school,170146,management,small_city,1
female,non_single,36,high_school,135383,skilled,mid_size_city,1
male,non_single,21,high_school,96769,skilled,big_city,1
male,single,25,unknown,43684,unemployed,small_city,0
male,single,36,high_school,103521,skilled,small_city,1
male,single,27,unknown,118499,skilled,mid_size_city,1
female,non_single,22,high_school,119684,skilled,big_city,1
male,single,42,high_school,126586,skilled,mid_size_city,1
female,non_single,40,university,136812,skilled,big_city,2
male,single,36,high_school,118277,skilled,mid_size_city,1
male,single,33,high_school,144597,skilled,mid_size_city,1
female,non_single,23,high_school,106043,skilled,small_city,0
male,single,63,university,272314,management,big_city,3
female,non_single,60,university,309364,management,big_city,3
female,non_single,37,high_school,170386,skilled,mid_size_city,1
male,non_single,34,high_school,112458,skilled,small_city,0
male,single,36,high_school,96840,skilled,mid_size_city,1
male,single,57,university,281923,management,mid_size_city,3
female,non_single,52,university,95551,unemployed,small_city,2
male,single,39,high_school,112347,skilled,big_city,1
female,non_single,38,high_school,260977,management,big_city,3
female,non_single,25,high_school,99354,skilled,small_city,0
male,single,26,unknown,111509,skilled,big_city,1
male,single,26,unknown,105252,unemployed,small_city,0
female,non_single,25,high_school,108522,skilled,small_city,0
female,non_single,21,high_school,94655,skilled,mid_size_city,0
male,single,40,high_school,201699,management,mid_size_city,3
male,single,27,unknown,139868,skilled,big_city,1
female,non_single,27,high_school,102543,skilled,mid_size_city,0
male,non_single,30,high_school,134467,management,big_city,1
female,non_single,19,high_school,111187,unemployed,small_city,0
male,single,39,high_school,152302,management,mid_size_city,1
female,non_single,31,high_school,110610,skilled,big_city,1
male,single,31,unknown,137827,management,big_city,1
male,single,32,unknown,220923,skilled,big_city,3
female,non_single,55,university,165717,management,big_city,2
male,non_single,46,university,122299,skilled,small_city,2
male,non_single,46,university,120499,skilled,small_city,2
female,non_single,43,university,126449,unemployed,small_city,2
male,non_single,39,high_school,108315,skilled,big_city,1
male,non_single,28,high_school,112515,skilled,mid_size_city,0
male,single,27,unknown,164559,skilled,mid_size_city,1
male,single,27,unknown,59238,unemployed,small_city,0
male,single,43,high_school,131133,skilled,small_city,1
male,non_single,22,high_school,109188,skilled,small_city,0
male,single,43,high_school,115393,skilled,mid_size_city,1
male,non_single,27,high_school,94711,skilled,big_city,1
male,non_single,26,high_school,171860,management,small_city,1
male,non_single,28,high_school,139414,skilled,big_city,1
female,non_single,20,high_school,110931,skilled,mid_size_city,0
male,single,35,high_school,187549,management,big_city,3
male,single,42,high_school,145508,management,small_city,1
male,single,40,high_school,104240,unemployed,small_city,0
female,non_single,35,high_school,108272,skilled,mid_size_city,0
male,single,35,high_school,144004,skilled,big_city,1
male,single,33,high_school,81083,unemployed,small_city,0
female,non_single,23,high_school,166763,skilled,mid_size_city,1
female,non_single,31,high_school,175530,management,mid_size_city,1
female,non_single,33,high_school,112422,skilled,mid_size_city,0
female,non_single,20,high_school,154134,skilled,big_city,1
male,single,30,unknown,112401,skilled,mid_size_city,1
male,single,47,high_school,85690,unemployed,small_city,0
male,single,34,high_school,145896,management,big_city,1
female,non_single,25,high_school,122552,skilled,big_city,1
male,non_single,21,high_school,115494,skilled,big_city,1
male,single,29,unknown,109467,skilled,small_city,0
male,single,46,high_school,148226,skilled,big_city,1
male,single,20,unknown,88559,skilled,mid_size_city,1
female,non_single,55,university,62393,unemployed,small_city,2
male,single,74,university,122133,unemployed,small_city,2
male,single,29,unknown,230883,management,big_city,3
male,single,36,high_school,136689,management,big_city,1
male,non_single,33,high_school,109145,skilled,small_city,0
male,single,25,unknown,100449,skilled,big_city,1
male,non_single,25,high_school,106253,skilled,small_city,0
male,non_single,23,high_school,84747,unemployed,small_city,0
female,non_single,37,high_school,149465,skilled,mid_size_city,1
male,single,65,university,84435,unemployed,small_city,2
female,non_single,26,high_school,51681,unemployed,small_city,0
male,single,39,high_school,139198,management,mid_size_city,1
female,non_single,30,high_school,106577,skilled,mid_size_city,0
male,single,29,unknown,117372,skilled,big_city,1
male,single,41,high_school,69609,unemployed,small_city,0
female,non_single,30,high_school,178947,management,big_city,1
female,non_single,41,university,81743,unemployed,small_city,2
female,non_single,34,high_school,111900,skilled,mid_size_city,0
male,single,35,high_school,121650,skilled,small_city,1
female,non_single,55,university,172639,management,big_city,2
male,non_single,61,university,175740,skilled,mid_size_city,2
male,single,30,unknown,220050,management,big_city,3
female,non_single,29,high_school,95200,skilled,mid_size_city,0
male,single,34,high_school,113609,skilled,mid_size_city,1
male,single,35,high_school,143552,management,big_city,1
male,single,31,unknown,130973,skilled,big_city,1
female,non_single,29,high_school,145946,management,big_city,1
male,single,36,high_school,126206,skilled,mid_size_city,1
male,single,35,high_school,120426,skilled,small_city,1
female,non_single,27,high_school,91925,skilled,big_city,1
male,single,32,unknown,129630,skilled,big_city,1
male,single,37,high_school,124268,skilled,big_city,1
male,single,36,high_school,105240,skilled,mid_size_city,1
female,non_single,34,high_school,162180,management,small_city,1
male,single,38,high_school,106552,skilled,big_city,1
male,single,34,high_school,105843,skilled,big_city,1
male,single,63,university,138327,skilled,mid_size_city,2
female,non_single,29,high_school,76154,unemployed,small_city,0
male,single,32,unknown,155012,skilled,mid_size_city,1
female,non_single,26,high_school,114369,skilled,mid_size_city,0
male,single,35,high_school,102839,unemployed,small_city,0
male,non_single,22,high_school,132796,skilled,small_city,0
female,non_single,23,high_school,89742,skilled,big_city,1
male,single,28,unknown,58615,unemployed,small_city,0
male,single,36,high_school,130603,management,big_city,1
male,non_single,33,high_school,110340,skilled,small_city,0
female,non_single,26,high_school,117729,skilled,big_city,1
male,single,24,unknown,130808,skilled,small_city,0
male,single,25,unknown,147402,skilled,big_city,1
male,single,39,high_school,93567,unemployed,small_city,0
male,single,44,high_school,109289,skilled,mid_size_city,1
female,non_single,23,high_school,98742,unemployed,small_city,0
male,single,26,unknown,101270,skilled,small_city,0
female,non_single,57,university,187835,skilled,mid_size_city,2
female,non_single,30,high_school,140741,skilled,small_city,0
male,single,44,high_school,133265,skilled,big_city,1
male,single,47,high_school,148100,management,big_city,1
male,single,52,high_school,131021,skilled,big_city,1
female,non_single,62,university,152620,skilled,big_city,2
male,single,35,high_school,85033,unemployed,small_city,0
male,single,26,unknown,114514,skilled,mid_size_city,1
male,single,26,unknown,99307,skilled,mid_size_city,1
female,non_single,42,university,219451,management,big_city,2
female,non_single,27,high_school,114007,skilled,small_city,0
male,single,38,high_school,102846,skilled,small_city,1
male,single,39,high_school,81483,unemployed,small_city,0
male,non_single,20,high_school,107779,skilled,big_city,1
male,single,29,unknown,222360,management,big_city,3
male,single,40,high_school,107125,skilled,small_city,1
male,non_single,32,high_school,80080,unemployed,small_city,0
male,non_single,28,high_school,129600,skilled,small_city,0
female,non_single,27,high_school,118613,skilled,mid_size_city,0
male,single,42,high_school,146237,skilled,mid_size_city,1
male,non_single,49,university,144461,skilled,big_city,2
male,single,38,high_school,124487,skilled,small_city,1
female,non_single,24,high_school,97826,skilled,small_city,0
male,single,27,unknown,64105,unemployed,small_city,0
male,single,36,high_school,156374,skilled,big_city,1
male,single,34,high_school,205383,management,big_city,3
male,non_single,28,high_school,98964,skilled,big_city,1
male,single,45,high_school,221842,management,big_city,3
male,single,26,unknown,88027,skilled,big_city,1
male,single,32,unknown,160513,management,big_city,1
male,single,26,unknown,124536,skilled,big_city,1
male,non_single,20,high_school,93634,skilled,small_city,0
male,single,54,high_school,124725,skilled,small_city,1
female,non_single,37,high_school,102456,skilled,small_city,0
male,single,40,high_school,74975,unemployed,small_city,0
female,non_single,23,high_school,153861,skilled,mid_size_city,1
male,single,43,high_school,119351,skilled,big_city,1
male,single,36,high_school,95438,skilled,big_city,1
male,single,44,high_school,147967,skilled,big_city,1
female,non_single,24,high_school,116863,skilled,mid_size_city,0
male,single,53,high_school,170622,skilled,mid_size_city,1
female,non_single,23,high_school,132426,skilled,mid_size_city,1
female,non_single,26,high_school,77519,unemployed,small_city,0
male,single,30,unknown,169405,skilled,big_city,1
female,non_single,31,high_school,120030,skilled,small_city,0
male,single,42,high_school,77933,unemployed,small_city,0
male,non_single,31,high_school,109892,skilled,mid_size_city,0
male,single,41,high_school,69062,unemployed,small_city,0
male,single,32,unknown,116348,skilled,small_city,0
female,non_single,28,high_school,137188,skilled,mid_size_city,1
male,non_single,41,high_school,110199,skilled,small_city,0
male,non_single,26,high_school,109890,skilled,mid_size_city,0
male,single,25,unknown,109751,skilled,big_city,1
male,non_single,33,high_school,129651,skilled,mid_size_city,1
female,non_single,75,graduate_school,170113,management,mid_size_city,2
female,non_single,37,high_school,140285,skilled,mid_size_city,1
male,single,42,high_school,198029,management,big_city,3
female,non_single,45,university,120262,unemployed,small_city,2
male,non_single,23,high_school,105137,skilled,mid_size_city,0
male,single,60,university,127371,skilled,small_city,2
male,single,31,unknown,145689,skilled,small_city,0
male,single,34,high_school,102617,unemployed,mid_size_city,1
male,single,61,university,90709,unemployed,small_city,2
male,single,43,high_school,107099,skilled,mid_size_city,1
female,non_single,37,high_school,116021,skilled,big_city,1
male,single,32,unknown,100426,skilled,big_city,1
female,non_single,24,high_school,62249,unemployed,small_city,0
male,single,35,high_school,172957,skilled,mid_size_city,1
female,non_single,23,high_school,95003,skilled,mid_size_city,0
male,single,45,high_school,109698,unemployed,small_city,0
male,non_single,34,high_school,157376,skilled,small_city,0
male,single,27,unknown,123191,skilled,big_city,1
female,non_single,67,graduate_school,171052,management,small_city,2
male,single,22,unknown,99328,skilled,small_city,0
female,non_single,28,high_school,133799,skilled,big_city,1
female,non_single,29,high_school,138256,skilled,big_city,1
male,single,27,unknown,115638,skilled,small_city,0
male,single,31,unknown,82238,unemployed,small_city,0
male,single,49,high_school,127543,skilled,mid_size_city,1
male,single,24,unknown,63987,unemployed,small_city,0
female,non_single,29,high_school,114784,skilled,small_city,0
male,single,37,high_school,217450,skilled,mid_size_city,3
male,single,37,high_school,173751,management,big_city,3
female,non_single,23,high_school,122850,skilled,small_city,0
male,non_single,36,high_school,104953,skilled,small_city,0
male,single,34,high_school,152371,skilled,mid_size_city,1
male,single,41,high_school,139905,skilled,small_city,1
